X,Y,Z,DipDirection,dip,DipPolarity,formation
538468.26221117,7480515.58826357,387.68615277080124,4.4277533573220165,90,1,Fault_7436
524662.73130987,7480154.44913802,387.68615277080124,4.4277533573220165,90,1,Fault_7436
545000.01970581,7478579.67025788,461.5811572412387,4.4277533573220165,90,1,Fault_7436
542571.51239981,7488831.16066893,645.0952385344327,22.135336122569043,90,1,Fault_7439
560124.94518343,7479717.8142949,645.0952385344327,22.135336122569043,90,1,Fault_7439
527475.04337437,7492999.02684152,478.66023036877357,22.135336122569043,90,1,Fault_7439
520689.08119362,7490139.43572196,413.1924334753324,54.71580041869643,90,1,Fault_2235
525375.30636128,7483424.96866113,413.1924334753324,54.71580041869643,90,1,Fault_2235
515687.31005864,7497115.820520521,565.7458388030251,54.71580041869643,90,1,Fault_2235
520542.46265294,7514160.96857664,581.7807489301413,48.887019958523695,90,1,Fault_2248
522843.71380063,7511577.4211285,581.7807489301413,48.887019958523695,90,1,Fault_2248
517993.83077814,7517134.40459377,577.3666800583056,48.887019958523695,90,1,Fault_2248
517453.48725954,7497683.89853831,553.5164767109791,59.32948657536088,90,1,Fault_2843
515687.31005864,7499279.464208024,553.5164767109791,59.32948657536088,90,1,Fault_2843
519972.78154691,7492053.43901718,515.518200505395,59.32948657536088,90,1,Fault_2843
541963.19163038,7493283.13978594,669.6292495272747,39.104864742265704,90,1,Fault_2997
545893.98244059,7489525.86523723,669.6292495272747,39.104864742265704,90,1,Fault_2997
534479.09627295,7498804.10098736,512.9970663790563,39.104864742265704,90,1,Fault_2997
526241.48968922,7494361.51259949,434.0094611634413,55.701468332421726,90,1,Fault_3496
534630.34441964,7483865.05492077,434.0094611634413,55.701468332421726,90,1,Fault_3496
522189.26567998,7502103.99834995,545.72278143473,55.701468332421726,90,1,Fault_3496
532914.74969844,7501129.60123437,556.7050362149016,53.457483213438536,90,1,Fault_3498
539513.18738029,7491597.13566214,556.7050362149016,53.457483213438536,90,1,Fault_3498
530175.96563729,7504196.10320143,572.2333483392058,53.457483213438536,90,1,Fault_3498
543048.60760173,7490190.6702777,628.8956535239711,52.150967032987964,90,1,Fault_5993
546577.26028642,7487345.218131,628.8956535239711,52.150967032987964,90,1,Fault_5993
541963.19163038,7493283.13978594,554.6864577406741,52.150967032987964,90,1,Fault_5993
520303.71612472,7485450.93468321,580.9194815354564,49.55815569578525,90,1,Fault_7099
517946.07183157,7488467.89860577,580.9194815354564,49.55815569578525,90,1,Fault_7099
522322.30888126,7483333.43952939,452.5056236540905,49.55815569578525,90,1,Fault_7099
518845.53649929,7485045.40687333,446.9029196307247,36.70173896012662,90,1,Fault_10762
521416.13576964,7482669.93442657,446.9029196307247,36.70173896012662,90,1,Fault_10762
515687.31005864,7486940.339990976,589.5157006119214,36.70173896012662,90,1,Fault_10762
526718.59949805,7491736.49932416,541.5574849525564,56.97129327251198,90,1,Fault_12647
520343.17884566,7501712.97896174,541.5574849525564,56.97129327251198,90,1,Fault_12647
530691.43430111,7485795.52823793,418.4392267858003,56.97129327251198,90,1,Fault_12647
548948.53390282,7507152.60603048,632.5213214983515,66.11421618351599,90,1,Fault_12658
546639.32683299,7512670.78252025,632.5213214983515,66.11421618351599,90,1,Fault_12658
552794.04956652,7498772.5523466,543.2194169600267,66.11421618351599,90,1,Fault_12658
517746.86032914,7509496.4685744,562.8060944844497,7.185678417592508,90,1,Fault_12660
515687.31005864,7509754.2265250115,562.8060944844497,7.185678417592508,90,1,Fault_12660
521090.55123523,7509073.01052396,579.2678142663103,7.185678417592508,90,1,Fault_12660
518524.9442624,7500500.44191141,499.6091005695451,61.338622843833456,90,1,Fault_14378
515687.31005864,7504448.313224441,499.6091005695451,61.338622843833456,90,1,Fault_14378
520631.03544852,7495403.9455309,508.66709479557846,61.338622843833456,90,1,Fault_14378
519646.4217734,7512962.96949212,571.5677745141581,13.373732696191041,90,1,Fault_16769
522459.5291779,7512088.52096737,571.5677745141581,13.373732696191041,90,1,Fault_16769
516323.22553533,7513547.42216704,548.9494148171026,13.373732696191041,90,1,Fault_16769
