formation,thickness median,thickness std,method
Wittenoom_Formation,302.0,262.38900250651443,full
Marra_Mamba_Iron_Formation,195.0,171.8705731855384,full
Boolgeeda_Iron_Formation,203.0,135.68461883895935,full
Mount_McRae_Shale_and_Mount_Sylvia_Formation,210.5,110.96086221962892,full
Weeli_Wolli_Formation,684.0,185.05262150878255,full
Brockman_Iron_Formation,612.5,336.89106153774475,full
Woongarra_Rhyolite,231.0,97.73014794924757,full
Mount_Roe_Basalt,251.0,163.85766180845295,full
Hardey_Formation,1848.0,643.4062119465653,full
Fortescue_Group,430.0,226.27876761258202,full
Rocklea_Inlier_metagranitic_unit,623.0,243.73004191796574,full
Jeerinah_Formation,515.0,502.0842063541436,full
Boongal_Formation,616.5,322.09437022918195,full
Pyradie_Formation,1128.0,406.53886653061846,full
Bunjinah_Formation,1772.0,427.2865660464994,full
Turee_Creek_Group,1548.0,893.9013239295916,min
