code,Fault_7436,Fault_7439,Fault_2235,Fault_2248,Fault_2843,Fault_2997,Fault_3496,Fault_3498,Fault_5993,Fault_7099,Fault_10762,Fault_12647,Fault_12658,Fault_12660,Fault_14378,Fault_16769
Boolgeeda_Iron_Formation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Boongal_Formation,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0
Brockman_Iron_Formation,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0
Bunjinah_Formation,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
Fortescue_Group,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1
Hardey_Formation,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0
Jeerinah_Formation,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1
Marra_Mamba_Iron_Formation,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0
Mount_McRae_Shale_and_Mount_Sylvia_Formation,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0
Pyradie_Formation,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0
Rocklea_Inlier_greenstones,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rocklea_Inlier_metagranitic_unit,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turee_Creek_Group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Weeli_Wolli_Formation,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
Wittenoom_Formation,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,0
Woongarra_Rhyolite,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
